legacy_node_id,node_id,pubchem_id,status
compound::2-Hexanone,compound::11583,11583,unique
compound::2-Hexenyl propanoate,compound::5352463,5352463,unique
compound::2-Hexyl-1-decanol,compound::95337,95337,unique
compound::2-Hexylthiophene,compound::87793,87793,unique
compound::2-Hydroxy-4-methoxybenzaldehyde,compound::69600,69600,unique
compound::2-Isobutyl-3-Methoxypyrazine,compound::32594,32594,unique
compound::2-Isobutyl-3-Methylpyrazine,compound::26333,26333,unique
compound::2-Isobutylthiazole,compound::62725,62725,unique
compound::2-Isopropyl-3-Methoxypyrazine,compound::33166,33166,unique
compound::2-Isopropyl-4-methylthiazole,compound::61808,61808,unique
compound::2-Isopropyl-5-methyl-2-hexenal,compound::5362661,5362661,unique
compound::2-Isopropyl-5-methylcyclohexanone,compound::6986,6986,unique
compound::2-Isopropyl-5-methylpyrazine,compound::61700,61700,unique
compound::2-Isopropyltoluene,compound::10703,10703,unique
compound::2-METHYLBUTYL 2-METHYLBUTYRATE,compound::17129,17129,unique
compound::2-Mercapto-2-Methyl-1-Pentanol,compound::11240503,11240503,unique
compound::2-Methoxy-3-Methylpyrazine,compound::17898,17898,unique
compound::2-Methoxy-4-Methylphenol,compound::7144,7144,unique
compound::2-Methoxy-4-Propylphenol,compound::17739,17739,unique
compound::2-Methoxy-4-vinylphenol,compound::332,332,unique
compound::2-Methoxybenzaldehyde,compound::8658,8658,unique
compound::2-Methoxybenzenethiol,compound::23642,23642,unique
compound::2-Methoxycinnamaldehyde,compound::641298,641298,unique
compound::2-Methoxyphenyl acetate,compound::61155,61155,unique
compound::2-Methoxypyrazine,compound::18467,18467,unique
compound::2-Methoxystyrene,compound::61153,61153,unique
"compound::2-Methyl-1,3-dithiolane",compound::21828,21828,unique
compound::2-Methyl-1-Butanol,compound::8723,8723,unique
compound::2-Methyl-1-phenyl-2-propanol,compound::7531,7531,unique
compound::2-Methyl-1-propanol,compound::6560,6560,unique
compound::2-Methyl-2-Butanol,compound::6405,6405,unique
compound::2-Methyl-2-Pentanol,compound::11543,11543,unique
compound::2-Methyl-2-Pentenal,compound::5319754,5319754,unique
compound::2-Methyl-2-Pentenoic Acid,compound::5365909,5365909,unique
compound::2-Methyl-3-(2-furyl)propenal,compound::6210220,6210220,unique
compound::2-Methyl-3-Buten-2-Ol,compound::8257,8257,unique
compound::2-Methyl-3-Heptanone,compound::25611,25611,unique
compound::2-Methyl-3-Pentanone,compound::11265,11265,unique
compound::2-Methyl-3-furanthiol,compound::34286,34286,unique
compound::2-Methyl-3-pentenoic acid,compound::6435866,6435866,unique
compound::2-Methyl-3-tetrahydrofuranthiol,compound::62128,62128,unique
compound::2-Methyl-5-(methylthio)furan,compound::61657,61657,unique
compound::2-Methyl-5-Vinylpyrazine,compound::26335,26335,unique
compound::2-Methylbenzaldehyde,compound::10722,10722,unique
compound::2-Methylbenzenethiol,compound::8712,8712,unique
compound::2-Methylbutanoic acid,compound::8314,8314,unique
compound::2-Methylbutyl Acetate,compound::12209,12209,unique
compound::2-Methylbutyl isovalerate,compound::62445,62445,unique
compound::2-Methylbutyraldehyde,compound::7284,7284,unique
compound::2-Methylfuran,compound::10797,10797,unique
compound::2-Methylheptanoic Acid,compound::14475,14475,unique
compound::2-Methylhexanoic Acid,compound::20653,20653,unique
compound::2-Methylpentanal,compound::31245,31245,unique
compound::2-Methylpentanoic acid,compound::7341,7341,unique
compound::2-Methylpyrazine,compound::7976,7976,unique
compound::2-Methylpyridine,compound::7975,7975,unique
compound::2-Methyltetradecane,compound::15268,15268,unique
compound::2-Methyltetrahydrofuran-3-One,compound::18522,18522,unique
compound::2-Methylthioacetaldehyde,compound::10887828,10887828,unique
compound::2-Methylthiophene,compound::11126,11126,unique
compound::2-Methyltridecane,compound::15269,15269,unique
compound::2-Nonanol,compound::12367,12367,unique
compound::2-Nonanone,compound::13187,13187,unique
compound::2-Nonen-4-one,compound::448996,448996,unique
compound::2-Nonenoic acid,compound::97730,97730,unique
"compound::2-Octen-1-ol, acetate",compound::5463875,5463875,unique
compound::2-Octen-4-one,compound::5365891,5365891,unique
compound::2-Pentadecanone,compound::61303,61303,unique
compound::2-Pentanethiol,compound::62424,62424,unique
compound::2-Pentanol,compound::22386,22386,unique
compound::2-Pentanone,compound::7895,7895,unique
"compound::2-Pentenal, (Z)-",compound::12365893,12365893,unique
compound::2-Pentenoic Acid,compound::638122,638122,unique
compound::2-Pentyl Acetate,compound::12278,12278,unique
compound::2-Pentyl butyrate,compound::43263,43263,unique
compound::2-Pentylfuran,compound::19602,19602,unique
compound::2-Pentylpyridine,compound::16800,16800,unique
compound::2-Pentylthiophene,compound::20995,20995,unique
compound::2-Phenyl-2-Butenal,compound::6429333,6429333,unique
compound::2-Phenylethanol,compound::6054,6054,unique
compound::2-Phenylethyl formate,compound::7711,7711,unique
compound::2-Phenylethyl hexanoate,compound::61384,61384,unique
compound::2-Phenylethyl octanoate,compound::229888,229888,unique
compound::2-Phenylethyl pentanoate,compound::81964,81964,unique
compound::2-Phenylethyl propionate,compound::31225,31225,unique
compound::2-Phenylpropanal,compound::7146,7146,unique
compound::2-Propanethiol,compound::6364,6364,unique
"compound::2-Propen-1-one, 3-(4-hydroxyphenyl)-1-phenyl-",compound::25021769,25021769,unique
compound::2-Propionylpyrrole,compound::61260,61260,unique
compound::2-Propylphenol,compound::12570,12570,unique
compound::2-Propylpyrazine,compound::87466,87466,unique
compound::2-Propylpyridine,compound::69320,69320,unique
compound::2-Pyrrolidinone,compound::12025,12025,unique
compound::2-Tridecanone,compound::11622,11622,unique
